"lat","lon","start_station_id","startcount","?column?"
42.373268,-71.118579,74,34162,"Start"
42.3581,-71.093198,67,29784,"Start"
42.35553628,-71.0728687,58,28370,"Start"
42.34992828,-71.07739207,36,24040,"Start"
42.352175,-71.055547,22,21200,"Start"
42.35204262,-71.0705781,42,20323,"Start"
42.35082681,-71.08981088,53,18863,"Start"
42.35991176,-71.05142981,20,18820,"Start"
42.36079297,-71.07118962,60,18717,"Start"
42.362811,-71.056067,47,17986,"Start"
42.371848,-71.060292,98,17608,"Start"
42.35892,-71.057629,23,17182,"Start"
42.354979,-71.063348,54,16524,"Start"
42.348762,-71.082383,61,16347,"Start"
42.348706,-71.097009,33,16306,"Start"
42.348717,-71.085954,52,16079,"Start"
42.356052,-71.069849,120,15698,"Start"
42.36507,-71.1031,68,15343,"Start"
42.34740621,-71.08678415,55,15161,"Start"
42.36919032,-71.11714125,97,15131,"Start"
42.34366582,-71.08582377,46,14740,"Start"
42.363871,-71.050877,40,14488,"Start"
42.365673,-71.064263,190,13903,"Start"
42.373231,-71.120886,73,13707,"Start"
42.352409,-71.062679,81,12697,"Start"
42.34652004,-71.08065777,21,12240,"Start"
42.36242784,-71.08495474,189,11941,"Start"
42.357143,-71.050699,43,10871,"Start"
42.36125722,-71.06528744,6,10688,"Start"
42.350406,-71.108279,10,10635,"Start"
42.366981,-71.076472,84,10534,"Start"
42.3722168,-71.12188071,70,10353,"Start"
42.3625,-71.08822,107,10338,"Start"
42.366426,-71.105495,76,10151,"Start"
42.34807412,-71.07657015,16,10037,"Start"
42.351146,-71.066289,49,9751,"Start"
42.344792,-71.044024,163,9711,"Start"
42.36213123,-71.09115601,80,9687,"Start"
42.358155,-71.052163,151,9292,"Start"
42.3572185,-71.11387163,105,9265,"Start"
42.35148193,-71.04436085,24,9256,"Start"
42.35169202,-71.11903489,9,8937,"Start"
42.336448,-71.023739,146,8867,"Start"
42.366277,-71.09169,91,8816,"Start"
42.370677,-71.076529,90,8794,"Start"
42.345392,-71.069616,4,8352,"Start"
42.36264779,-71.10006094,177,8223,"Start"
42.352261,-71.123831,41,8155,"Start"
42.33624445,-71.08798563,12,8007,"Start"
42.396969,-71.123024,100,7983,"Start"
42.363796,-71.129164,149,7890,"Start"
42.35317809,-71.04817357,157,7871,"Start"
42.36346469,-71.10057324,75,7647,"Start"
42.351356,-71.059367,59,7641,"Start"
42.35114198,-71.07329249,50,7417,"Start"
42.376369,-71.114025,110,7180,"Start"
42.35533502,-71.05822917,35,7064,"Start"
42.36041775,-71.05752244,44,6902,"Start"
42.35560121,-71.10394478,179,6750,"Start"
42.372969,-71.094445,95,6559,"Start"
42.34465063,-71.09732501,342,6542,"Start"
42.335741,-71.03877,119,6537,"Start"
42.3481,-71.03764,186,6361,"Start"
42.36254854,-71.05737358,369,6360,"Start"
42.3510045,-71.04930013,64,6261,"Start"
42.33758601,-71.09627098,160,6258,"Start"
42.33595898,-71.046229,121,6209,"Start"
42.341814,-71.090179,5,6176,"Start"
42.3598254,-71.05979576,206,6075,"Start"
42.369885,-71.069957,143,5989,"Start"
42.3391085,-71.0514432,161,5947,"Start"
42.34776345,-71.04535997,65,5918,"Start"
42.349496,-71.10057592,227,5822,"Start"
42.387995,-71.119084,115,5748,"Start"
42.347241,-71.105301,19,5702,"Start"
42.37967448,-71.09391324,78,5690,"Start"
42.375603,-71.064608,94,5668,"Start"
42.341598,-71.123338,69,5593,"Start"
42.373379,-71.111075,96,5468,"Start"
42.351586,-71.04569256,218,5444,"Start"
42.34157472,-71.0689044,26,5438,"Start"
42.379011,-71.119945,89,5405,"Start"
42.36769018,-71.07116282,182,5347,"Start"
42.3385146,-71.07404083,39,5341,"Start"
42.36426344,-71.1182757,17,5333,"Start"
42.345733,-71.100694,122,5260,"Start"
42.34011512,-71.10061884,3,5170,"Start"
42.35585436,-71.05459746,48,5029,"Start"
42.36224179,-71.08311072,72,5028,"Start"
42.35668335,-71.06166646,374,4998,"Start"
42.345901,-71.063187,152,4924,"Start"
42.34881026,-71.04167744,31,4905,"Start"
42.353334,-71.137313,8,4903,"Start"
42.366621,-71.114214,87,4831,"Start"
42.354659,-71.053181,192,4826,"Start"
42.338629,-71.1065,11,4771,"Start"
42.36356016,-71.08216792,141,4695,"Start"
42.331184,-71.095171,27,4631,"Start"
42.377945,-71.116865,108,4599,"Start"
42.33949454,-71.08020781,57,4598,"Start"
42.35096144,-71.07782811,370,4447,"Start"
42.36590788,-71.06446669,109,4417,"Start"
42.370803,-71.104412,116,4375,"Start"
42.341332,-71.076847,25,4340,"Start"
42.34924377,-71.0972821,361,4248,"Start"
42.34922469,-71.13275303,66,4206,"Start"
42.34369056,-71.10235287,32,4190,"Start"
42.35339051,-71.0445714,7,3990,"Start"
42.383405,-71.107593,71,3840,"Start"
42.34958942,-71.07946779,372,3788,"Start"
42.33741748,-71.10286117,14,3757,"Start"
42.36178044,-71.10809952,139,3653,"Start"
42.380287,-71.125107,104,3649,"Start"
42.33462893,-71.10407918,30,3521,"Start"
42.37842,-71.105668,79,3461,"Start"
42.36154571,-71.13776207,15,3407,"Start"
42.36544486,-71.08277142,185,3405,"Start"
42.35154735,-71.12126246,226,3371,"Start"
42.37412455,-71.054812,356,3353,"Start"
42.32293117,-71.10014141,131,3271,"Start"
42.35182807,-71.06781138,345,3266,"Start"
42.344137,-71.052608,150,3196,"Start"
42.378338,-71.048927,85,3132,"Start"
42.309054,-71.11543,124,3085,"Start"
42.36608797,-71.08633604,117,3054,"Start"
42.397828,-71.130516,118,2996,"Start"
42.37250865,-71.11305356,221,2969,"Start"
42.3595732,-71.10129476,178,2964,"Start"
42.34619708,-71.10728681,233,2923,"Start"
42.37478629,-71.13320231,180,2917,"Start"
42.36135838,-71.09670274,380,2858,"Start"
42.344796,-71.031614,136,2790,"Start"
42.3382668,-71.13894682,82,2772,"Start"
42.36314499,-71.12298574,29,2765,"Start"
42.38674802,-71.11901879,176,2718,"Start"
42.37150494,-71.07249312,195,2705,"Start"
42.33639915,-71.07306711,13,2680,"Start"
42.396105,-71.139459,142,2667,"Start"
42.37535497,-71.03133336,214,2652,"Start"
42.310579,-71.107341,133,2635,"Start"
42.32176526,-71.10984161,125,2630,"Start"
42.39407224,-71.11133695,239,2547,"Start"
42.34894857,-71.15027189,175,2532,"Start"
42.32033974,-71.05118036,93,2474,"Start"
42.37119728,-71.09759867,225,2401,"Start"
42.33047365,-71.05701685,113,2401,"Start"
42.39558846,-71.14260614,183,2364,"Start"
42.34827839,-71.08044855,352,2264,"Start"
42.37408991,-71.06905997,171,2241,"Start"
42.35155308,-71.07569031,384,2238,"Start"
42.377022,-71.056605,129,2208,"Start"
42.36161932,-71.08043551,228,2201,"Start"
42.35732922,-71.1467354,37,2191,"Start"
42.33658555,-71.09886996,331,2092,"Start"
42.3636929,-71.0875672,318,2089,"Start"
42.3334,-71.02495,296,2079,"Start"
42.38614141,-71.0782814,194,2067,"Start"
42.400877,-71.116772,102,2055,"Start"
42.346563,-71.128374,103,2054,"Start"
42.343749,-71.062256,222,2053,"Start"
42.33274392,-71.11626681,86,2048,"Start"
42.34895285,-71.16031677,174,2031,"Start"
42.39638681,-71.12011306,328,2023,"Start"
42.34953017,-71.13022771,332,2019,"Start"
42.35775309,-71.10393405,184,2004,"Start"
42.34404051,-71.05737627,63,1985,"Start"
42.33376473,-71.12046447,193,1951,"Start"
42.38567579,-71.11412136,99,1950,"Start"
42.378965,-71.068607,169,1950,"Start"
42.386844,-71.09812,77,1933,"Start"
42.34521562,-71.06384031,363,1911,"Start"
42.388966,-71.132788,140,1850,"Start"
42.3977834,-71.10594004,137,1826,"Start"
42.33509899,-71.07903779,51,1787,"Start"
42.36575798,-71.07699394,144,1767,"Start"
42.316966,-71.104374,282,1745,"Start"
42.40449,-71.123413,111,1721,"Start"
42.3388956,-71.08149976,364,1639,"Start"
42.37438409,-71.10015746,381,1635,"Start"
42.36884408,-71.03977829,212,1616,"Start"
42.36599433,-71.09522222,335,1573,"Start"
42.31218918,-71.03648586,92,1563,"Start"
42.38267828,-71.14347895,224,1523,"Start"
42.326599,-71.066498,138,1520,"Start"
42.36489293,-71.03497177,211,1520,"Start"
42.32760387,-71.1108917,159,1511,"Start"
42.36860524,-71.09930186,386,1494,"Start"
42.386781,-71.006098,217,1414,"Start"
42.317642,-71.056664,167,1384,"Start"
42.34254914,-71.07421449,379,1347,"Start"
42.38100143,-71.10402523,330,1326,"Start"
42.34278116,-71.05747275,366,1297,"Start"
42.37487847,-71.06383499,327,1294,"Start"
42.35057,-71.166491,208,1236,"Start"
42.332817,-71.081198,200,1176,"Start"
42.3339227,-71.10446509,359,1175,"Start"
42.39223284,-71.07746601,236,1150,"Start"
42.3951715,-71.09850592,234,1138,"Start"
42.39044949,-71.1085595,156,1136,"Start"
42.34835863,-71.13997217,338,1133,"Start"
42.392766,-71.129042,145,1128,"Start"
42.344827,-71.028664,135,1121,"Start"
42.3494261,-71.0620996,365,1117,"Start"
42.300923,-71.114249,273,1113,"Start"
42.33023071,-71.05060093,362,1107,"Start"
42.3602737,-71.12852452,376,1107,"Start"
42.37500235,-71.14871614,333,1090,"Start"
42.38165061,-71.13426982,181,1077,"Start"
42.32984299,-71.08386572,56,1036,"Start"
42.303469,-71.085347,170,1034,"Start"
42.34135616,-71.08336953,404,1033,"Start"
42.320561,-71.06198,128,970,"Start"
42.39108438,-71.09039426,188,953,"Start"
42.38032335,-71.10878613,378,948,"Start"
42.39648358,-71.0654676,390,881,"Start"
42.34286835,-71.14127841,354,874,"Start"
42.315692,-71.098634,126,849,"Start"
42.33554308,-71.1506152,346,848,"Start"
42.38762811,-71.08318716,235,826,"Start"
42.406302,-71.132446,112,822,"Start"
42.34734473,-71.10016808,400,817,"Start"
42.380857,-71.070629,280,807,"Start"
42.3106,-71.0539,173,805,"Start"
42.40231703,-71.12671129,114,797,"Start"
42.3121203,-71.1142981,357,782,"Start"
42.38170676,-71.08377187,329,765,"Start"
42.37927325,-71.10341903,377,762,"Start"
42.38042947,-71.06055722,358,753,"Start"
42.34024645,-71.15168806,344,739,"Start"
42.31727474,-71.06537004,130,733,"Start"
42.309796,-71.092225,162,699,"Start"
42.370744,-71.044201,215,688,"Start"
42.36435589,-71.06959369,416,668,"Start"
42.3529457,-71.05656401,426,659,"Start"
42.34954403,-71.07242074,415,656,"Start"
42.33664795,-71.0689446,385,653,"Start"
42.34303291,-71.0668873,412,652,"Start"
42.369536,-71.039431,213,646,"Start"
42.32784317,-71.12536222,187,640,"Start"
42.306539,-71.107669,279,630,"Start"
42.39120972,-71.12260755,334,615,"Start"
42.34474225,-71.07648162,417,599,"Start"
42.36550729,-71.0801376,398,596,"Start"
42.2996667,-71.0605833,260,560,"Start"
42.29266593,-71.12119539,339,551,"Start"
42.33978053,-71.1213335,403,549,"Start"
42.31787329,-71.08243078,196,533,"Start"
42.38353252,-71.01619095,210,531,"Start"
42.35276621,-71.15988486,351,531,"Start"
42.38952436,-71.1169414,409,519,"Start"
42.325333,-71.075354,106,519,"Start"
42.3294633,-71.0901582,360,498,"Start"
42.32143814,-71.09126061,197,488,"Start"
42.30785224,-71.06512249,205,479,"Start"
42.37207658,-71.08995434,437,475,"Start"
42.31869734,-71.06978148,199,475,"Start"
42.38078817,-71.15412891,371,472,"Start"
42.379772,-71.027448,209,460,"Start"
42.36955298,-71.08579015,413,457,"Start"
42.37331213,-71.04102008,219,449,"Start"
42.33209606,-71.12845883,191,443,"Start"
42.34854543,-71.06559185,399,441,"Start"
42.39329263,-71.0724476,391,438,"Start"
42.3936,-71.143941,319,433,"Start"
42.3983606,-71.06373843,397,426,"Start"
42.324081,-71.083235,204,421,"Start"
42.33833424,-71.1305093,402,388,"Start"
42.38393225,-71.13961272,367,364,"Start"
42.38522394,-71.01063069,355,360,"Start"
42.38717463,-71.08714389,408,350,"Start"
42.28297568,-71.05466698,258,332,"Start"
42.287072,-71.127754,337,313,"Start"
42.30791,-71.080952,202,313,"Start"
42.267902,-71.093641,336,313,"Start"
42.316902,-71.091946,201,308,"Start"
42.38240378,-71.03024304,216,307,"Start"
42.40615157,-71.06040745,388,301,"Start"
42.309572,-71.0729,203,295,"Start"
42.28630716,-71.12820532,341,291,"Start"
42.40933007,-71.06381878,396,274,"Start"
42.30412793,-71.07929528,232,272,"Start"
42.3991826,-71.11104455,101,269,"Start"
42.32538436,-71.12177596,401,268,"Start"
42.34960945,-71.10391524,446,268,"Start"
42.2873611,-71.071111,350,257,"Start"
42.40725945,-71.05546381,389,253,"Start"
42.36178741,-71.14393111,428,244,"Start"
42.2945833,-71.087111,348,225,"Start"
42.290333,-71.071806,349,224,"Start"
42.29916498,-71.07345872,259,216,"Start"
42.39189812,-71.09745376,406,215,"Start"
42.38830554,-71.11067977,407,211,"Start"
42.28634589,-71.1367213,373,188,"Start"
42.2856944,-71.0641389,271,177,"Start"
42.32039374,-71.05355408,405,176,"Start"
42.292917,-71.06575,272,169,"Start"
42.41034691,-71.05260458,394,165,"Start"
42.41143223,-71.06823265,387,159,"Start"
42.29175622,-71.0625918,411,156,"Start"
42.40328057,-71.0476264,395,152,"Start"
42.41427294,-71.04479656,392,142,"Start"
42.2920896,-71.07841156,255,125,"Start"
42.28621295,-71.07942931,347,113,"Start"
42.30604563,-71.11570891,424,111,"Start"
42.37544913,-71.03918549,419,102,"Start"
42.27462067,-71.09372552,340,99,"Start"
42.41250451,-71.05842225,393,93,"Start"
42.29167943,-71.05726346,410,90,"Start"
42.2773889,-71.09325,353,85,"Start"
42.35656092,-71.14167538,440,81,"Start"
42.36774122,-71.03335975,436,77,"Start"
42.39790817,-71.14797131,414,68,"Start"
42.29118035,-71.11773666,421,67,"Start"
42.33286288,-71.09218862,443,64,"Start"
42.38445226,-71.07514855,441,60,"Start"
42.28072815,-71.13423757,427,59,"Start"
42.28072514,-71.08617242,343,53,"Start"
42.27881158,-71.11687703,422,51,"Start"
42.28484472,-71.11874517,423,47,"Start"
42.28198628,-71.07147925,431,45,"Start"
42.28633199,-71.15344755,432,40,"Start"
42.27094707,-71.07337901,435,34,"Start"
42.28277901,-71.15728851,433,32,"Start"
42.27748444,-71.16341468,434,31,"Start"
42.31930943,-71.09639924,425,28,"Start"
42.29606705,-71.116012,442,25,"Start"
42.31886468,-71.04536798,445,25,"Start"
42.2771947,-71.06955614,430,18,"Start"
